"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\package-lock.json", "JSON", 29665, 0, 0, 0, 0, 0, 0, 1, 29666
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\package.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\App.css", "CSS", 0, 0, 0, 27, 0, 0, 0, 7, 34
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\App.js", "JavaScript", 0, 0, 91, 0, 0, 0, 0, 17, 108
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\anim\animBar.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\anim\animBar.module.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\anim\animBarButton.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\canvas\canvas.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 7, 49
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\canvas\canvas.module.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\canvas\pixel.js", "JavaScript", 0, 0, 93, 0, 0, 0, 0, 21, 114
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\canvas\pixel.module.css", "CSS", 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\palette\palette.module.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\palette\paletteButton.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\palette\paletteHolder.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\selector\selector.js", "JavaScript", 0, 0, 96, 0, 0, 0, 4, 21, 121
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\selector\selector.module.css", "CSS", 0, 0, 0, 45, 0, 0, 0, 9, 54
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\selector\selectorCard.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 8, 56
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\toolbar\toolbar.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 6, 30
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\toolbar\toolbar.module.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\toolbar\toolbarButton.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\components\toolbar\toolbarButton.module.css", "CSS", 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 3, 3, 18
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 4, 1, 6
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\static\grid-toggle.svg", "XML", 0, 0, 0, 0, 115, 0, 1, 2, 118
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\static\play-button.svg", "XML", 0, 0, 0, 0, 115, 0, 1, 2, 118
"c:\Users\joshu\Desktop\portfolio\react-pixel-editor\src\static\stop-button.svg", "XML", 0, 0, 0, 0, 123, 0, 1, 2, 126
"Total", "-", 29730, 38, 493, 168, 353, 20, 37, 176, 31015